Question,Even_Further_Improved_Cleaned_Answer
请问电脑屏幕会一会变暗、一会变亮怎么回事呀,[表情];大概是开了自动亮度;是不是拔过电源;几个应用的护眼模式在打架？;2023-06-19;13:26:21;【小白】好运来Pro(2802069537);;@❧鲸鱼丶飞鸟乀♡;@❧鲸鱼丶飞鸟乀♡;之前拔了充电器，它就会一直变化亮度;但是现在不拔充电器，他也是一直变亮度;问一问群友有没有人知道在哪里能换小米手机电池，现在96%-0%只能用一坤时了[表情];换手机巴;都用成这样了;要不然可以淘宝买了自己换也方便;直接去小米官方售后换呗;小米商城看;网上搜一下官方服务点就行;有服务点;[表情]谢谢带火;[图片]
请问这是什么情况,"先拔掉所有usb设备试试;尝试过拔掉键盘鼠标，拔掉主板的usb连接线，也开不了机;""SB;DEVICE"";（;美国大趋势;笔记本插电电源指示灯不亮，也充不进电。电池可以用(但剩余电量也不多了）。手边有拆机工具，有办法解决吗;先对照实验一下？（换根充电线？）;@C8H17OH;@C8H17OH;两个线都能给手机充进电，应该不是线的问题。刚刚电脑又能充进电，碰了一下线又不能充了。应该是Type-C接口充电不良了。;大家知道换个Type-C接口大概是什么价格吗;这个估计得看位置;要是在小板上的估计不贵，要是在主板上的估计得焊;我拆开看估计得焊了(17年的小米air;13);[表情];焊的话不如直接找售后了，自己动手的技术力要求和风险太高了;好的，感谢同学!"
请问联想小新的触摸板突然失灵是什么原因？甚至设备管理器的人机接口设备列表里找不到触摸板这个选项[表情],可能是触摸板损坏/掉驱动/触摸板排线接触不良
请问一下自己可以用什么办法尝试恢复吗？[表情],按F6;[图片];蓝屏了怎么办呀[表情]长按电源关机可以吗;可以的;2023-06-22;9:31:37;【小白】花斑母牛(395563699);;求助各位大佬;2023-06-22;9:31:47;【小白】花斑母牛(395563699);;台式机主机自驾运输会颠坏吗;2023-06-22;9:31:58;【小白】Vendredi(1532138492);;把显卡和机械硬盘拆下来;2023-06-22;9:32:17;【小白】花斑母牛(395563699);;然后呢;2023-06-22;9:32:31;【小白】花斑母牛(395563699);;原装包装盒我给扔了;2023-06-22;9:32:35;【小白】花斑母牛(395563699);;[表情];2023-06-22;9:32:52;【学徒】Y.G.(1143375493);;自驾其实问题不大吧，做好防护;2023-06-22;9:33:29;【小白】花斑母牛(395563699);;是不是搞点衣服防震就好了[表情];2023-06-22;9:33:57;【IT侠】_f41th(895761580);;我都直接扔后备箱;2023-06-22;9:34:01;【IT侠】_f41th(895761580);;没坏过;2023-06-22;9:34:59;【小白】花斑母牛(395563699);;屌;2023-06-22;9:35:00;【小白】花斑母牛(395563699);;多谢;你抱着也行其实;结缔组织缓冲;求助一下群里的大佬，固态硬盘插进硬盘壳电脑读取显示无权限是怎么个情况啊;[图片]
请问uu们，笔记本电脑屏幕花了能修吗，换一个(15.6寸)大概需要多少rmb呀[表情],视情况;一般几百r;不如直接买个显示屏插笔记本上;要是经常带出去当我没说;2023-06-23;7:50:59;【管理员】前仙林Geek组组长-YDJSIR(2913193412);;如果是1080p，买京东方的IPS;A-，自己动手200以内;2023-06-23;7:51:16;【管理员】前仙林Geek组组长-YDJSIR(2913193412);;触屏和玻璃瓶成本就会很高，不是的话还行的;2023-06-23;7:51:46;【管理员】前仙林Geek组组长-YDJSIR(2913193412);;原先是高刷的屏或者2k＋分辨率的屏的话除非换屏线，也要买这样的屏;总成能拆就换面板，不能拆就买总成;没过保送修看看，过了保自己修乐趣多;[图片];求助一下群大佬;刚买的鸡哥隔一段时间不操作电脑就会卡死;然后怎么操作都没用;重启了又好了;刚买的请优先考虑找客服/售后退换货;@Evanescence;鸡哥哪一款;新极光pro;哦哦[表情];这款不是风评不错嘛，建议先找找客服
请问硬盘坏了能导出数据吗,2023-06-24;9:04:25;【小白】补补粽子(310277817);;[图片];2023-06-24;9:05:13;【小白】补补粽子(310277817);;自从在学校中了病毒，就开始少文件;2023-06-24;9:05:30;【小白】补补粽子(310277817);;然后现在直接读不出来盘了;2023-06-24;9:06:04;【小白】谁见幽人独往来(1795642156);;那那，盘里的病毒应该不会传给电脑吧;2023-06-24;9:06:06;【小白】谁见幽人独往来(1795642156);;2023-06-24;9:07:34;【小白】补补粽子(310277817);;病毒已经删掉了;2023-06-24;9:07:48;【小白】补补粽子(310277817);;但是自从删掉了感觉硬盘就坏了;2023-06-24;9:08:01;【小白】补补粽子(310277817);;老是响
请问电脑可以正常开机，但是显示屏一直黑屏该怎么处理啊[表情],可能屏线松了/屏幕坏了;那这种可以去电脑火葬场修吗[表情];为什么不试试预约IT侠呢;额你确定电脑正常开机了吗;（好吧，现在考试周，约了也不一定有人接）;确定;能显示开机动画;但是开机后黑屏;鼠标指针也没有？;没有;感觉去电脑医院那边也就是重装系统;总之，个人意见是不推荐去;好的;我再看看[表情];有个问题想咨询一下，手机是华为nova6，用了三年了，现在耗电速度很快，日常使用问题不大，也没有什么性能方面的额外要求，但不时会有应用卡死未响应的情况，B站刷视频也经常会卡加载，是换块电池接着用还是说换新机更好一点;应用卡死这个换电池应该解决不了;预算足够的话换个新机器好点;当然尽量还是多考虑不要创造需求();如果要换电池的话学校周边有没有方便一点的地方，查了下官方售后得去玄武区，有点远;我2021在京东买过手机电池，同时京东会推荐换电池的手机店，当时是在南师大仙林校区地铁站附近商场换的;[图片];谢谢;不过呢，这种就是小店面，如果换坏了没有保障的[表情]最好还是去官方店;@Donut.;@Donut.;进安全模式试试（万能回答x
朋友自己攒的台式机无法开机了，不清楚具体是哪个部件出了问题，请问有推荐的维修地点吗？或者IT侠最近还有同学能接单吗？,
请问现在it侠还能接单吗[表情],能，但是不一定有人接;好的谢谢;2023-06-26;9:59:48;系统消息(1000000);;灵修加入本群。;有哪位IT侠在图书馆吗？电脑突然鼠标不听使唤了，可以紧急帮忙一下吗？多谢多谢;有人知道怎么恢复u盘数据吗？数据大小都是正常的但是打开后是空白[表情];隐藏成系统文件了？;好像是什么文件系统紊乱？;有什么办法可以修复吗？;@张beef;可以看一眼上面这篇推送，如果符合的话应该可以自己实操;好的，我试试，谢谢[表情];Late;Homo;Sapiens加入本群。;[图片]
请问用Windows字符编辑程序造的字在一次电脑没电关机之后全部消失是什么原因呀？有办法找回吗？,如果是断电前没保存多半找不回了吧|д`;);不是的，以前开关机过好多次的。;原来真的有人用这个吗）;不知道发生了什么，也许跟关机没关系。因为我还发现我输入法原来设置的双拼也变成默认的全拼了，所以也或许是搜狗输入法搞了什么幺蛾子。;@【IT侠】一款吉祥物;@【IT侠】一款吉祥物;保存过的，之前保存得好好的;或者有人知道这个是保存在什么位置吗？我重新造一遍然后再备份，这样也不用担心它下次再给我搞什么幺蛾子了。;在Windows系统中，字符编辑程序创建的字符通常保存在以下位置：;造字程序：在Windows;XP中，造字字符的信息文件EUDC.tte和EUDC.euf保存在本机Windows\Fonts文件夹下。在Windows;7中，这些文件保存在C:\Windows\Fonts文件夹下。;字符映射表：您可以通过将字符映射表复制到文本编辑器中并保存到指定的文件夹中，以便以后再次使用。;需要注意的是，这些文件在Windows资源管理器中通常是不可见的，您需要在文件资源管理器中勾选“显示所有文件和文件夹”的选项，才能看到这些文件。另外，如果您将字符保存到可移动磁盘或其他计算机上，您需要将相应的文件复制到目标计算机的相应位置，并在造字程序中进行相应的设置，以便正确地使用这些字符。;——文心一言;刚想说试试chatgpt;在哪里勾选显示所有文件呀;我选了那个显示隐藏的项目，但是找不到[表情];求助登录微软账户，要双重验证，下载Microsoft;Authenticator，但是我下载之后，;在APP上登录，又让我跳转浏览器，在浏览器上登录，浏览器上登录之后又让我下载APP;，这个死循环怎么破解;[图片];[图片];[图片];手机是国内买的安卓吗（;微软账户双重验证;邮件和手机号短信都可选;（至少你注册账户这两个必有一个;而且看情况好像有“组织需要更多信息保护账户安全”，这个微软账户是个人账户吗，还是用工作邮箱注册的工作账户;@BUG人肉排雷者;@BUG人肉排雷者;看上面邮箱地址，是学校账号（;可以考虑先看一下学校IT部门有没有相关的FAQ（;确实（但我优先认为机构账户默认也不会开两步验证，我用南大邮箱注册的工作账户也没有，是不是你自己点了什么设置两步验证。当然这也可能是组管理员的强制设置;国外大学和国内不可比啊，国外2FA挺流行的好像（;反正我自己换了苹果之后才发现MSAuth挺好用的）;2023-06-26;16:30:43;C8H17OH(1143264710);;但是缺了谷歌服务的安卓就很难用[表情];gauth也很好用;@BUG人肉排雷者;@BUG人肉排雷者;看了一下渥太华大学的网站，是总体不require;MFA，但是有些系统会require（;>;Enrol;for;Multi-Factor;Authentication;(MFA);today!;MFA;is;required;to;access;many;University;systems;and;applications.;@多下功夫成;@多下功夫成;看了你们学校的教程，结合我登录我单位账号的过程，我猜测应该是用手机扫电脑上展示的二维码而不是在手机上输账号密码（;教程：https://www.uottawa.ca/about-us/information-technology/services/security/mfa/enrol-mobile;风扇能亮
请问联想小新15换主板1280要换嘛,问题是有其他备选方案吗？;[图片][表情]目前只开了一些办公软件，温度就这么高，这正常吗;[图片]也没开大型软件;挺正常的感觉;开空调了吗;夏天多正常;[表情]没开空调，但感觉环境温度也不是很热;可能电脑觉得热();宿舍一个人我不开空调也不觉得热，但是风扇就嘎嘎转，开空调就没声了;主要是室温高散热慢;[表情]好的吧;[图片];问一下用非原装线冲iPad有什么后果嘛？;2023-06-29;15:55:50;【小白】薛定谔的皮皮虾(1359834369);;不同type;c的排线对应的引脚不同会造成什么影响吗？;2023-06-29;15:58:14;【小白】[it侠]鹿转(2408164955);;typec我没记错的话都是一样的;2023-06-29;16:35:13;【小白】幻影Hazer(331327543);;可以用命令行开关无感知认证吗;2023-06-29;18:08:07;【管理员】【IT侠】撒比~警惕旧电脑升级Win11<sakiyary19@qq.com>;有;2023-06-29;18:08:13;【管理员】【IT侠】撒比~警惕旧电脑升级Win11<sakiyary19@qq.com>;但现在在吃晚饭;2023-06-29;18:08:56;二加一等于叁<xiebaokang0131@qq.com>;60块钱收的，cpu未知，显卡好像是gtx660;2023-06-29;18:09:51;[IT侠]及时备份数据，善用搜索引擎(3387257974);;预约;2023-06-29;18:14:52;【IT】二加一等于叁<xiebaokang0131@qq.com>;有人出sata固态吗;2023-06-29;18:28:02;【IT】二加一等于叁<xiebaokang0131@qq.com>;[图片];2023-06-29;18:28:48;【IT】二加一等于叁<xiebaokang0131@qq.com>;[图片];2023-06-29;18:32:26;二加一等于叁<xiebaokang0131@qq.com>;有没有大佬帮我去闲鱼选购一下sata固态[表情][表情]水太深把握不住;有没有可能京东;2023-06-29;18:33:14;Julius(2032740872);;[图片];为什么要买二手sata;2023-06-29;18:34:38;二加一等于叁<xiebaokang0131@qq.com>;就是给我妈看电视用的，她也没啥东西要存;2023-06-29;18:35:20;二加一等于叁<xiebaokang0131@qq.com>;我老电脑上还有一个128的sata固态;2023-06-29;18:37:35;【大佬】Julius(2032740872);;虽然有些跑题;但一般父母都会有把照片导出来存的需要;你可以顺便问问;2023-06-29;19:48:58;Julius(2032740872);;@幻影Hazer;@幻影Hazer;您找到方案了吗;没有;[表情];我发个邮件问问;印度方案是换网卡或者换系统;我打算来印度的;docker跑一个浏览器登p网;@幻影Hazer;@幻影Hazer;伪造mac就行了啊;你随便搞个电脑;把自己的网口mac改成你想开无感知的电脑的mac地址;然后开无感知;再把mac改回来;2023-06-29;22:35:42;【管理员】【IT侠】撒比~警惕旧电脑升级Win11<sakiyary19@qq.com>;刚才没看到问;伪造mac需要网卡支持的，我的建议是使用ssh;-X或者browsh这样简单粗暴的方法（;虽然效果确实有点抽象（;[图片];学到了;谁知道学校联名电梯卡怎么充值吗;被困住了;地铁卡;南京市民卡？;不是;仙林校区站最西边不是有个机器可以充吗;Julius撤回了一条消息;nfc这个;能在手机上充值吗;那个直接在金陵通app或者手机钱包app就行吧;机器理论也可以，我没试过;[图片];[图片];首先肯定不是第三个;其次我不知道是不是前两个;华为钱包不能直接冲吗;@数据常备份/预约带电源/提问请上图/Minaduki;@数据常备份/预约带电源/提问请上图/Minaduki;1;才知道我手机上有这玩意;我的意思是有个app叫南京市民卡;开通不就是用这个？;@Julius;对的;是这个;我不知道，但是我的手机下载了还没登陆就能看见南大卡;数据常备份/预约带电源/提问请上图/Minaduki撤回了一条消息，并假装无事发生。;卡号打个码（;[图片];ui完全不一样;[图片];@Julius;但反正这个页面和交通卡充值毫无关系（;我大一的时候吃过亏（
请问如果在宿舍连上网线了但是没有ipv6，会是什么情况呢,[图片];test.nju.edu.cn的ipv6测速打不开，但是确实能跑到千兆网;机型是拯救者;你把网线插在哪;2023-06-30;10:50:00;系统消息(1000000);;Tao.Y❀加入本群。;[图片];谢谢，解决了;2023-06-30;16:19:14;【IT】二加一等于叁<xiebaokang0131@qq.com>;扁l的那种;我可以送你;2023-06-30;16:20:44;【IT】二加一等于叁<xiebaokang0131@qq.com>;哥，你在哪;想问一下，硬盘从一个电脑上拔下来插到另一个电脑上之后有一个文件丢了可以怎么查;2023-06-30;19:18:39;二加一等于叁<xiebaokang0131@qq.com>;开机之后，都在工作，但是键盘指示灯不亮，点del也进不去blos;2023-06-30;19:19:23;二加一等于叁<xiebaokang0131@qq.com>
我的u盘已经做好微pe了，请问一下这是怎么回事,2023-06-30;19:20:52;二加一等于叁<xiebaokang0131@qq.com>;鼠标能亮;2023-06-30;19:24:33;Julius(2032740872);;先看看有没有debug灯;另外换一下SATA的数据线;有根有问题可能会报VGA错;2023-06-30;19:27:40;二加一等于叁<xiebaokang0131@qq.com>;2023-06-30;19:28:59;二加一等于叁<xiebaokang0131@qq.com>;[图片];2023-07-07;22:29:59;【小白】要截图不要拍照更不要逆光(2867648157);;怎么一言不合就重装，你自己个人会重装系统嘛[表情];主要电脑烫的要死有点害怕;就直接重装了;现在解决了;C盘东西都没了;[表情];文件备份没;之前备份了[表情];有先见之明的[表情]
请问个问题[表情]（不是IT相关，但实在是没有其他群问了）,
[图片]游戏是刺客信条起源，请问下红圈里这个东西怎么关掉呢，进游戏也会有，好烦,冲下[表情];重;打开主板设置软件;找类似于sonar的名字;[表情]就是玩起源才有这东西;@_f41th;这个是什么;你是啥主板;如果是笔记本打开官方的设置软件;[图片];官方设置软件只有这个[图片];应该是在主板或者声卡的驱动里;这玩意叫声音雷达或者声呐;[表情]好的，我去百度搜一下，之前都没听过这个词;为什么就这游戏才会出现呢;以前玩奥德赛也不这样;因为这玩意可能是根据游戏名做适配的;起源比奥德赛早吧;可能那个时候奥德赛没出就没适配;@_f41th;谢谢谢谢，解决了;[图片]是这个声音控制软件的问题;[图片]
请问电脑经常自动蓝屏重启是什么原因[表情]刚刚重装系统了也没用,C:\Windows\Minidump下面有文件吗;有
